projectID,sciVocTopics
101041115,"['relativistic mechanics', 'cavity optomechanics', 'quantum physics', 'quantum computers', 'theoretical physics']"
101041118,"['surgery', 'oncology', 'ultrasound']"
101041122,"['noble gases', 'planets', 'climatology', 'mass spectrometry', 'geology']"
101041131,"['metalloids', 'laser physics']"
101041145,['econometrics']
101041159,['optoelectronics']
101041177,"['virology', 'DNA viruses', 'genomes']"
101041192,"['recycling', 'employment', 'biocatalysis', 'biofuels', 'enzymes']"
101041201,"['mutation', 'chromosomes', 'genomes']"
101041206,"['pathophysiology', 'arteriosclerosis', 'nutrition', 'RNA']"
101041207,['cryptography']
101041208,['cryptography']
101041223,['governance']
101041224,['diabetes']
101041229,['soft matter physics']
101041231,"['transplantation', 'enzymes']"
101041245,"['ethnoarchaeology', 'proteins', 'lipids', 'nutrition', 'physical anthropology']"
101041246,"['employment', 'human migrations', 'law']"
101041249,"['quantum physics', 'symplectic topology', 'algebraic topology', 'classical mechanics', 'algebraic geometry']"
101041250,"['deep learning', 'robotics']"
101041255,"['colors', 'sustainable building']"
101041284,"['visual arts', 'civil society', 'art history', 'modern and contemporary art', 'digital humanities']"
101041298,['microscopy']
101041308,"['DNA', 'revolutions', 'mutation', 'oncology', 'genomes']"
101041316,"['elections', 'democracy']"
101041331,['oncology']
101041334,"['pandemics', 'taxation']"
101041342,"['fibers', 'composites', 'seismology']"
101041343,"['history', 'catalysis']"
101041354,"['agriculture', 'heredity', 'chromosomes', 'embryology']"
101041374,"['bacteriology', 'proteins', 'RNA']"
101041375,['databases']
101041376,"['judaism', 'medieval philosophy']"
101041418,"['biochemistry', 'microscopy', 'oncology', 'biophysics']"
101041421,"['bacteriology', 'virology', 'mycology', 'mutation', 'chromosomes']"
101041422,"['proteins', 'microscopy', 'immunology']"
101041424,"['proteins', 'polymer sciences', 'RNA']"
101041435,['quantum computers']
101041443,"['thermodynamics', 'nanotechnology', 'superconductivity']"
101041453,"['marine biology', 'satellite technology', 'climatic changes']"
101041461,"['gene therapy', 'lipids', 'mutation', 'nano-materials']"
101041464,"['hydrocarbons', 'semiconductivity']"
101041466,['exoplanetology']
101041475,"['general language studies', 'phonology']"
101041480,"['prehistory', 'biosphera', 'ecosystems', 'mammalogy']"
101041484,"['virology', 'immunology', 'HIV', 'vaccines']"
101041486,"['proteomics', 'genomes']"
101041487,"['quantum chemistry', 'mathematics']"
101041491,['geometry']
101041499,"['algebra', 'combinatorics', 'philosophy']"
101041516,"['optoelectronics', 'semiconductivity', 'data processing', 'photovoltaic']"
101041517,"['medieval history', 'religions']"
101041539,"['proteins', 'mutation', 'oncology', 'personalized medicine', 'laser physics']"
101041545,"['software', 'cryptography', 'e-governance']"
101041554,['photovoltaic']
101041570,"['proteins', 'evolutionary biology']"
101041596,"['history', 'philosophy']"
101041597,"['biosensors', 'polymer sciences', 'ecosystems', 'biological interactions', 'biomass']"
101041620,"['meteorites', 'planets']"
101041658,"['globalization', 'political economy']"
101041659,"['prostate cancer', 'DNA', 'topology', 'chromosomes', 'genomes']"
101041669,"['neurobiology', 'anatomy and morphology', 'machine learning']"
101041677,"['neurobiology', 'DNA', 'pathophysiology', 'dementia']"
101041696,['cryptography']
101041711,"['deep learning', 'computational intelligence']"
101041729,"['plant protection', 'pollution', 'climatic changes']"
101041730,"['computational science', 'oncology', 'pathology', 'deep learning']"
101041737,['transplantation']
101041743,['satellite technology']
101041744,"['thermodynamics', 'law']"
101041759,"['polymer sciences', 'chemical process engineering']"
101041762,"['pharmaceutical drugs', 'hydrocarbons', 'catalysis']"
101041768,"['productivity', 'sensors', 'botany']"
101041783,"['proteins', 'oncology']"
101041788,"['social anthropology', 'ideologies']"
101041799,"['primatology', 'coronaviruses', 'social work']"
101041808,"['DNA', 'mutation', 'oncology']"
101041809,"['optoelectronics', 'grains and oilseeds', 'sensors', 'semiconductivity', 'nano-materials']"
101041819,"['inorganic compounds', 'laser physics', 'law']"
101041824,"['political communication', 'governance', 'natural language processing', 'business models', 'law']"
101041826,"['ancient philosophy', 'ancient history', 'essays', 'history of literature', 'digital humanities']"
101041853,"['ancient history', 'philosophy']"
101041863,['automation']
101041867,"['genetics', 'proteomics', 'alzheimer']"
101041871,['biomaterials']
101041885,"['primatology', 'cetology', 'evolutionary biology', 'musicology', 'cognitive psychology']"
101041908,"['social inequalities', 'social psychology', 'employment', 'law']"
101041933,"['organic chemistry', 'catalysis', 'physical chemistry']"
101041936,"['software', 'diabetes']"
101041938,"['bacteriology', 'DNA', 'polymer sciences', 'RNA']"
101041939,"['proteins', 'microscopy', 'oncology']"
101041946,"['cultural anthropology', 'modern history', 'social anthropology']"
101041966,"['seismology', 'geometry', 'law']"
101041972,"['optical sensors', 'post-transition metals', 'geometry', 'cardiology', 'photons']"
101041975,['surgical procedures']
101041995,"['history', 'biosphera', 'agriculture', 'animal husbandry']"
101041998,"['alkali metals', 'inorganic compounds', 'alkaline earth metals', 'drainage basins', 'ecosystems']"
101042028,"['epidemiology', 'psychology']"
101042031,"['history', 'oncology', 'nucleotides', 'homeostasis']"
101042034,"['history', 'law']"
101042043,"['graphene', 'optical sensors', 'semiconductivity', 'metalloids']"
101042046,"['super resolution microscopy', 'proteins', 'spectroscopy']"
101042052,['video games']
101042055,"['history', 'revolutions', 'social inequalities']"
101042075,"['quantum physics', 'quantum computers', 'metalloids', 'fibre optics', 'nonlinear optics']"
101042080,"['revolutions', 'law']"
101042103,"['DNA', 'nutrition', 'RNA']"
101042125,"['governance', 'unemployment']"
101042139,"['health care services', 'childbirth', 'anxiety disorders', 'developmental psychology']"
101042147,"['governance', 'ethical principles']"
101042183,"['data science', 'psychiatry', 'personalized medicine', 'medical genetics']"
101042188,"['meteorology', 'spacecraft', 'solar physics']"
101042198,"['proteins', 'sensors', 'ecosystems']"
101042232,"['oncology', 'immunotherapy', 'homeostasis']"
101042244,"['epistemology', 'history']"
101042252,"['history', 'satellite technology', 'climatic changes']"
101042266,"['malicious software', 'system software', 'cryptography']"
101042275,"['grains and oilseeds', 'thermodynamics', 'planets']"
101042290,"['graphene', 'topology', 'polymer sciences', 'sensors', 'machine learning']"
101042292,"['democracy', 'law']"
101042299,"['software', 'history', 'revolutions', 'supernova']"
101042304,"['quantum computers', 'superconductivity']"
101042309,['RNA']
101042315,"['colors', 'superconductivity', 'photons']"
101042338,"['ecology', 'human migrations', 'law']"
101042339,"['history', 'human migrations']"
101042343,"['history', 'ethnology', 'globalization']"
101042349,"['semiconductivity', 'metalloids', 'photovoltaic', 'photons']"
101042368,"['quantum physics', 'microscopy', 'photons']"
101042370,['sensors']
101042392,"['productivity', 'ecosystems']"
101042394,"['embryology', 'homeostasis']"
101042399,"['coating and films', 'sensors', 'photons']"
101042402,"['medical biotechnology', 'physiotherapy', 'textiles', 'soft robotics', 'sensors']"
101042403,"['proteins', 'absorption spectroscopy']"
101042407,['computational science']
101042414,"['radio frequency', 'quantum computers', 'supercomputers', 'fibre optics', 'superconductivity']"
101042416,"['radio frequency', 'exoplanetology', 'law']"
101042417,['cryptography']
101042421,"['history', 'DNA', 'genomes', 'physical anthropology']"
101042427,['general language studies']
101042460,"['statistical mechanics', 'geometry', 'conformal field theory', 'statistics and probability']"
101042466,"['electric batteries', 'catalysis', 'additive manufacturing', 'laser physics']"
101042470,"['microscopy', 'diagnostic imaging', 'ultrasound']"
101042514,"['crystals', 'machine learning', 'chemical sciences', 'mathematical model']"
101042529,"['reinforcement learning', 'social issues']"
101042537,"['DNA', 'microscopy', 'oncology', 'radiation chemistry']"
101042538,"['tissue engineering', 'immunology', 'biomaterials', 'implants']"
101042567,"['psycholinguistics', 'computational intelligence']"
101042568,"['neutrinos', 'revolutions', 'physical cosmology']"
101042570,"['DNA', 'speleology', 'genomes']"
101042572,"['planets', 'metalloids']"
101042574,['enzymes']
101042585,['computational intelligence']
101042597,['history']
101042610,"['gravitational waves', 'astrophysics', 'geometry']"
101042612,"['bacteriology', 'polymer sciences', 'biophysics']"
101042625,"['alzheimer', 'pathology']"
101042634,"['developmental biology', 'stem cells', 'RNA', 'mathematical model']"
101042642,"['proteins', 'oncology', 'RNA', 'genomes']"
101042643,"['ethnology', 'social inequalities', 'cinematography', 'alcohols', 'human migrations']"
101042650,"['diabetes', 'multiple sclerosis', 'immunology', 'coronaviruses', 'vaccines']"
101042655,"['linguistics', 'medieval history', 'computational science', 'musicology', 'digital humanities']"
101042672,"['quantum physics', 'alkali metals', 'quantum computers', 'semiconductivity', 'photons']"
101042674,"['global navigation satellite system', 'satellite technology', 'plate tectonics']"
101042680,"['software', 'two-dimensional nanostructures']"
101042699,"['visual arts', 'history', 'ethnology']"
101042701,"['mortality', 'psychiatry', 'personalized medicine']"
101042702,['cinematography']
101042703,"['topology', 'climatic changes', 'political economy']"
101042707,"['post-transition metals', 'metalloids', 'superconductivity']"
101042724,"['arteriosclerosis', 'stroke', 'mathematical model']"
101042729,"['modern history', 'revolutions', 'history of literature', 'digital humanities']"
101042738,"['oncology', 'homeostasis']"
101042751,"['andrology', 'fertility']"
101042759,"['pathophysiology', 'diabetes']"
101042781,"['inorganic compounds', 'semiconductivity', 'hydrogen energy']"
101042844,['geometry']
101042855,"['space exploration', 'cavity optomechanics', 'nanotechnology', 'sensors', 'law']"
101042865,"['pathophysiology', 'genetic engineering', 'cardiovascular diseases', 'implants']"
101042878,['fibers']
101042881,['medicinal chemistry']
101042882,"['political violence', 'ethnology', 'women’s studies', 'social anthropology', 'globalization']"
101042884,"['primatology', 'topology', 'telecommunications networks', 'magnetic resonance imaging']"
101042908,"['demography', 'productivity', 'taxation']"
101042912,"['proteomics', 'biological interactions', 'agriculture', 'microbiology']"
101042941,"['oncology', 'immunotherapy']"
101042961,"['primatology', 'evolutionary biology', 'anthropology', 'deep learning', 'ethology']"
101042989,"['electromagnetism', 'atomic physics', 'quantum chemistry', 'machine learning', 'spectroscopy']"
101042990,"['topology', 'geometry', 'algebraic geometry']"
101042992,['oncology']
101043014,"['reproductive medicine', 'tissue engineering', 'fetal medicine', 'pathology', 'embryology']"
101043047,"['biosensing', 'databases', 'RNA', 'genomes', 'laser physics']"
101043068,"['fertility', 'nutrition', 'carbohydrates', 'physiology', 'energy and fuels']"
101043071,"['history', 'economics', 'computational science', 'philosophy']"
101043083,"['ecohydrology', 'climatic zones', 'ecosystems', 'physiology', 'agriculture']"
101043119,"['surgery', 'cardiovascular diseases', 'sensors', 'implants']"
101043127,"['employment', 'globalization']"
101043132,"['gene therapy', 'synthetic biology', 'DNA', 'chromosomes', 'genomes']"
101043143,"['databases', 'gravitational waves', 'black holes', 'statistical mechanics', 'stellar astronomy']"
101043159,"['computer and information sciences', 'graph theory']"
101043187,"['comparative morphology', 'history', 'ecosystems']"
101043198,['psychology']
101043213,"['governance', 'digital humanities']"
101043214,"['physiology', 'biomass', 'botany']"
101043216,"['cognitive neuroscience', 'developmental psychology']"
101043219,['quantum field theory']
101043225,"['control systems', 'surgery', 'control engineering']"
101043229,"['cavity optomechanics', 'two-dimensional nanostructures', 'quantum computers', 'metalloids', 'laser physics']"
101043231,"['governance', 'climatic changes']"
101043238,"['drug discovery', 'RNA']"
101043243,['cryptography']
101043257,"['genetics', 'developmental biology', 'agriculture', 'biomass', 'botany']"
101043268,"['primatology', 'history', 'palaeontology']"
101043272,"['biophysics', 'spectroscopy', 'mathematical model']"
101043288,"['electrochemistry', 'bacteriology', 'virology', 'soft matter physics', 'nano-materials']"
101043300,"['breast cancer', 'mutation', 'ecosystems', 'mathematical model']"
101043302,"['grains and oilseeds', 'planets', 'census']"
101043314,"['microfluidics', 'implants', 'embryology']"
101043321,['oncology']
101043353,"['organic chemistry', 'immunology', 'catalysis', 'microbiology', 'enzymes']"
101043356,"['lithology', 'ancient history']"
101043364,['RNA']
101043369,"['modern history', 'history of literature', 'digital humanities', 'philosophy']"
101043370,"['cell biology', 'RNA', 'homeostasis', 'enzymes']"
101043372,"['gravitational waves', 'neutron stars', 'astrophysics', 'photons']"
101043381,"['natural satellites', 'ecosystems', 'catalysis', 'nano-materials']"
101043382,"['databases', 'animal husbandry']"
101043387,['ecosystems']
101043403,"['mortality', 'kidney diseases']"
101043410,"['reinforcement learning', 'computer security']"
101043416,"['neurobiology', 'proteins']"
101043417,"['polymer sciences', 'textiles', 'robotics']"
101043428,"['biocatalysis', 'enzymes']"
101043431,"['internet', 'ecosystems', 'employment']"
101043433,"['history', 'mutation', 'modern philosophy', 'political philosophy', 'heuristic programming']"
101043450,['geometry']
101043451,"['history', 'islam']"
101043452,"['bacteriology', 'virology', 'electron microscopy', 'genomes', 'molecular biology']"
101043465,"['productivity', 'employment']"
101043467,"['software', 'cryptography', 'deep learning', 'pattern recognition']"
101043468,"['radar', 'law']"
101043471,"['computer vision', 'microscopy', 'laser physics']"
101043474,['psychology']
101043480,"['biochemistry', 'catalysis', 'nano-materials']"
101043485,['catalysis']
101043486,"['nanotechnology', 'metalloids', 'physical cosmology', 'superconductivity', 'spectroscopy']"
101043504,"['history', 'globalization', 'art history', 'modern and contemporary art']"
101043543,"['economics', 'democracy', 'psychology', 'coronaviruses', 'public administration']"
101043548,['ecosystems']
101043552,"['ancient history', 'civil society', 'political economy']"
101043559,"['data science', 'mutation', 'leukemia', 'chromosomes', 'genomes']"
101043572,"['nuclear waste management', 'ontology', 'sustainable economy', 'waste treatment processes']"
101043584,"['alzheimer', 'proteins', 'cell biology', 'pathology', 'molecular neuroscience']"
101043587,"['drug resistance', 'oncology', 'pathology', 'neurology', 'molecular biology']"
101043588,"['quantum field theory', 'conformal field theory', 'theoretical physics']"
101043589,"['evolutionary biology', 'genomes', 'molecular evolution']"
101043602,"['neurobiology', 'computational science']"
101043615,"['neurobiology', 'evolutionary biology', 'acoustics', 'biophysics']"
101043617,"['organic acids', 'lipids', 'oilseeds', 'sensors', 'energy conversion']"
101043637,['neurobiology']
101043645,"['proteomics', 'developmental biology']"
101043656,"['tissue engineering', 'stem cells', 'biomaterials']"
101043671,"['epidemiology', 'pathophysiology', 'diabetes', 'pharmacology and pharmacy', 'obesity']"
101043676,"['sensors', 'nano-materials']"
101043686,"['particle accelerator', 'quantum field theory', 'geometry', 'law']"
101043705,"['quantum physics', 'thermodynamics', 'statistical mechanics']"
101043711,"['governance', 'ecosystems', 'criminology', 'oceanography']"
101043730,"['general language studies', 'history', 'history of literature']"
101043732,['ethnology']
101043738,"['paleoclimatology', 'demography', 'paleoecology', 'archaeology']"
101043740,"['literature studies', 'cultural anthropology', 'dramaturgy', 'urban studies']"
101043749,"['asthma', 'vaccines', 'allergology']"
